business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
2263,TAIWAN RESTAURANT,445 CLEMENT St,San Francisco,CA,94118,37.782933,-122.464089,"(37.782933, -122.464089)",,2263_20180514,05/14/2018 12:00:00 AM,65,Routine - Unscheduled,2263_20180514_103144,Unapproved or unmaintained equipment or utensils,Low Risk
4755,Aunt Fanny's Hot Pretzels,Pier 39  Lot 12,San Francisco,CA,94133,37.802479,-122.411234,"(37.802479, -122.411234)",,4755_20180531,05/31/2018 12:00:00 AM,96,Routine - Unscheduled,4755_20180531_103144,Unapproved or unmaintained equipment or utensils,Low Risk
40216,Kuishinbo,22 Peace Plaza #535,San Francisco,CA,94115,37.785018,-122.429587,"(37.785018, -122.429587)",,40216_20180717,07/17/2018 12:00:00 AM,75,Routine - Unscheduled,40216_20180717_103109,Unclean or unsanitary food contact surfaces,High Risk
7762,Liguria Bakery,1700 Stockton St,San Francisco,CA,94133,37.801407,-122.409296,"(37.801407, -122.409296)",,7762_20180622,06/22/2018 12:00:00 AM,83,Routine - Unscheduled,7762_20180622_103154,Unclean or degraded floors walls or ceilings,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20180830,08/30/2018 12:00:00 AM,94,Routine - Unscheduled,61_20180830_103132,Improper thawing methods,Moderate Risk
3328,Gary Danko,800 North Point St,San Francisco,CA,94109,37.805728,-122.420564,"(37.805728, -122.420564)",,3328_20180222,02/22/2018 12:00:00 AM,98,Routine - Unscheduled,3328_20180222_103144,Unapproved or unmaintained equipment or utensils,Low Risk
4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"(37.765262, -122.41523)",+14155867112,4907_20180710,07/10/2018 12:00:00 AM,82,Routine - Unscheduled,4907_20180710_103142,Unclean nonfood contact surfaces,Low Risk
470,Franchino,347 Columbus Ave,San Francisco,CA,94133,37.798427,-122.407507,"(37.798427, -122.407507)",,470_20180523,05/23/2018 12:00:00 AM,92,Routine - Unscheduled,470_20180523_103145,Improper storage of equipment utensils or linens,Low Risk
60472,Mikaku Restaurant,323 Grant Ave,San Francisco,CA,94108,37.789995,-122.405484,"(37.789995, -122.405484)",,60472_20181126,11/26/2018 12:00:00 AM,86,Routine - Unscheduled,60472_20181126_103120,Moderate risk food holding temperature,Moderate Risk
65829,CHAMBERS eat + drink,601 Eddy St,San Francisco,CA,94109,37.783194,-122.418096,"(37.783194, -122.418096)",,65829_20180711,07/11/2018 12:00:00 AM,83,Routine - Unscheduled,65829_20180711_103103,High risk food holding temperature,High Risk
9679,Eastern Bakery Inc,720 Grant Ave,San Francisco,CA,94108,37.793598,-122.406097,"(37.793598, -122.406097)",,9679_20180608,06/08/2018 12:00:00 AM,63,Routine - Unscheduled,9679_20180608_103154,Unclean or degraded floors walls or ceilings,Low Risk
3665,Tower Carwash,1601 Mission St,San Francisco,CA,94102,37.772025,-122.419112,"(37.772025, -122.419112)",+14155559274,3665_20180208,02/08/2018 12:00:00 AM,88,Routine - Unscheduled,3665_20180208_103154,Unclean or degraded floors walls or ceilings,Low Risk
37231,Utopia Cafe,139 Waverly Pl,San Francisco,CA,94108,37.794723,-122.406944,"(37.794723, -122.406944)",,37231_20181226,12/26/2018 12:00:00 AM,64,Routine - Unscheduled,37231_20181226_103102,Unclean hands or improper use of gloves,High Risk
2854,SANRAKU,101 04th St 1/F,San Francisco,CA,94103,37.784548,-122.40419,"(37.784548, -122.40419)",,2854_20180214,02/14/2018 12:00:00 AM,82,Routine - Unscheduled,2854_20180214_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68986,Cafe Troya Fillmore,2125 FILLMORE St,San Francisco,CA,94115,37.789404,-122.433954,"(37.789404, -122.433954)",,68986_20181018,10/18/2018 12:00:00 AM,79,Routine - Unscheduled,68986_20181018_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
69115,Hahn's Hibachi,1710 Polk St,San Francisco,CA,94109,37.792577,-122.421056,"(37.792577, -122.421056)",,69115_20180814,08/14/2018 12:00:00 AM,85,Routine - Unscheduled,69115_20180814_103103,High risk food holding temperature,High Risk
63121,Sodini's Restaurant,510 Green St,San Francisco,CA,94133,37.799697,-122.407614,"(37.799697, -122.407614)",+14155290499,63121_20180611,06/11/2018 12:00:00 AM,81,Routine - Unscheduled,63121_20180611_103103,High risk food holding temperature,High Risk
67565,King of Thai Noodles Cafe,1541 TARAVAL St,San Francisco,CA,94116,37.742703,-122.482819,"(37.742703, -122.482819)",,67565_20180829,08/29/2018 12:00:00 AM,88,Routine - Unscheduled,67565_20180829_103142,Unclean nonfood contact surfaces,Low Risk
